Ticker,symbol,Market Cap,Trailing P/E,P/B Ratio,Trailing EPS,Forward P/E,Forward EPS,Dividend Yield %,Beta,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status,sector
INBS,INBS,8362095.0,0.045454547,1.3231324,64.68,-2.352,-1.25,,4.826,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Healthcare
GMAB,GMAB,19127439360.0,31.308512,0.060824763,0.94,19.62,1.5,,0.78,Overvalued,Undervalued,Undervalued,Fair Value,Overvalued,Undervalued,Healthcare
OSUR,OSUR,399382176.0,7.2499995,0.89124125,0.72,-21.75,-0.24,,0.184,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Healthcare
SY,SY,117565160.0,22.9,0.045932285,0.05,6.0263157,0.19,,1.006,Overvalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
RPRX,RPRX,16405564416.0,10.853755,1.8794059,2.53,6.63285,4.14,3.06,0.446,Undervalued,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Healthcare
RDHL,RDHL,12268795.0,0.09625,3.6666667,4.0,12.833333,0.03,,3.461,Undervalued,Overvalued,Undervalued,Undervalued,Overvalued,Overvalued,Healthcare
TAK,TAK,41922297856.0,35.756756,0.0030787382,0.37,6.681818,1.98,4.82,0.543,Overvalued,Undervalued,Undervalued,Fair Value,Overvalued,Undervalued,Healthcare
AMLX,AMLX,136242016.0,2.8714285,0.30842412,0.7,-2.6103897,-0.77,,-0.93,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Healthcare
BNTX,BNTX,20807075840.0,21.161764,1.0137967,4.08,-62.115105,-1.39,,0.228,Overvalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Healthcare
FMS,FMS,10914982912.0,20.43956,0.4006894,0.91,7.209303,2.58,,0.932,Overvalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
AVRO,AVRO,56546028.0,4.6666665,0.59377944,0.27,-3.8181818,-0.33,,1.243,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Healthcare
SNY,SNY,116147429376.0,20.0,0.77406704,2.29,9.443299,4.85,4.4499997,0.452,Fair Value,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
NSYS,NSYS,45212968.0,6.9327726,1.2650464,2.38,,,,0.71,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Healthcare
PRE,PRE,39178692.0,0.7379311,0.18986219,4.35,0.35666668,9.0,,-0.113,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
INMD,INMD,1490988672.0,7.66087,1.8794668,2.3,6.6742425,2.64,,2.162,Undervalued,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Healthcare
