Ticker,symbol,Market Cap,Trailing P/E,P/B Ratio,Trailing EPS,Forward P/E,Forward EPS,Dividend Yield %,Beta,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status
MGEE,MGEE,2673761024.0,22.741539,2.3444142,3.25,18.4775,4.0,2.29,0.724,Overvalued,Overvalued,Overvalued,Overvalued,Overvalued,Overvalued
GWRS,GWRS,293011904.0,36.727272,6.0268526,0.33,35.647057,0.34,2.48,0.976,Overvalued,Overvalued,Overvalued,Overvalued,Overvalued,Overvalued
CEPU,CEPU,1758467840.0,,0.016993353,-0.03,8.675925,1.08,9.659999599999999,0.97,Overvalued,Undervalued,Overvalued,Fair Value,Undervalued,Undervalued
WTRG,WTRG,9266722816.0,18.215054,1.5704089,1.86,15.906103,2.13,3.63,0.806,Fair Value,Fair Value,Overvalued,Fair Value,Fair Value,Fair Value
ENIC,ENIC,4153436928.0,5.875,0.73246753,0.48,0.008004087,352.32,12.32,0.724,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued
AEE,AEE,18746382336.0,16.059359,1.650515,4.38,14.325866,4.91,3.81,0.449,Fair Value,Fair Value,Fair Value,Fair Value,Fair Value,Fair Value
MSEX,MSEX,816570816.0,26.045454,1.9312437,1.76,19.020746,2.41,2.8399997999999997,0.741,Overvalued,Fair Value,Overvalued,Overvalued,Overvalued,Overvalued
NRGV,NRGV,174484240.0,,0.77275705,-0.69,-9.833333,-0.12,,0.574,Overvalued,Undervalued,Overvalued,Fair Value,Undervalued,Undervalued
SO,SO,74183073792.0,18.720995,2.3514104,3.62,15.723897,4.31,4.1300002000000005,0.49,Fair Value,Overvalued,Overvalued,Fair Value,Fair Value,Overvalued
ATO,ATO,16943857664.0,17.94409,1.5029637,6.26,15.910766,7.06,2.87,0.663,Fair Value,Fair Value,Fair Value,Fair Value,Fair Value,Fair Value
PEG,PEG,32049172480.0,12.530214,2.068344,5.13,15.990049,4.02,3.73,0.595,Undervalued,Overvalued,Fair Value,Undervalued,Fair Value,Overvalued
NGG,NGG,47510802432.0,14.703703,7.94,4.32,14.981133,4.24,5.57,0.289,Undervalued,Overvalued,Overvalued,Fair Value,Fair Value,Overvalued
