Ticker,symbol,Market Cap,Trailing P/E,Forward P/E,P/B Ratio,Graham Metric,Dividend Yield %,Beta,Alpha %,CROCI %,Sortino Ratio,Volatility,6 Month Appreciation %,Financial Currency,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status,sector
INMD,INMD,1562068608.0,8.748816,8.132158,1.9135481,16.7412802340496,,2.203,-23.05,22.0169129712512,0.06183296858024871,0.04287060943889057,-20.396728506488483,USD,Undervalued,Fair Value,Undervalued,Undervalued,Overvalued,Fair Value,Healthcare
SCYX,SCYX,104650048.0,1.3127962,34.625,1.4125446,1.8543831832105198,,1.492,33.43,101.99418875579069,-0.005415703454040362,0.05030037947592525,70.98765264032019,USD,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
MHUA,MHUA,19728090.0,1.5816326,,0.12679973,0.200550586639198,,0.391,-25.14,10.349982614856753,-0.02018727934408418,0.08630460395853785,-53.03030379657029,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Healthcare
RDY,RDY,11569797120.0,17.022444,17.150755,0.040515125,0.6896664464655,0.70999996,0.338,7.08,35.087515091064155,0.029262457932175766,0.017604439319287072,0.886784572341225,INR,Fair Value,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
CCRN,CCRN,506658624.0,11.037878,15.0206175,1.0681818,11.7904603902204,,0.767,-12.04,20.586911931524124,0.03826403372101343,0.03422132291984922,-30.186875376477428,USD,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
TCMD,TCMD,326255008.0,11.162601,15.602272,1.6863178,18.8236927605978,,1.233,-10.67,11.51196537941149,0.02935623146103118,0.03529180162675529,1.9680607994460828,USD,Undervalued,Fair Value,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
DCGO,DCGO,312823264.0,16.210526,22.0,1.0185186,16.5107222467836,,0.961,-30.54,18.306088979902704,-0.022827993551957335,0.03727475226156563,-46.434783935546875,USD,Fair Value,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
INVA,INVA,997867904.0,7.1339283,14.017544,1.4260217,10.17313656204411,,0.57,-9.57,25.97654658458712,0.012835332808893813,0.026242283227817,17.75976346065296,USD,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Healthcare
NUTX,NUTX,35400212.0,1.1866666,-71.200005,0.5096636,0.6048007713557599,,,-84.67,19.717959311794882,-0.13787133788252545,0.09455021421078906,-79.80141863447099,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Healthcare
ORMP,ORMP,93446472.0,8.846154,-8.846154,0.55920255,4.9467918744927,,1.864,5.94,-8.123500650099805,0.02309841571636015,0.050377662815694814,7.981212616976208,USD,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Healthcare
