symbol,name,exchange,assetType,ipoDate,delistingDate,status,sector
A,Agilent Technologies Inc,NYSE,Stock,1999-11-18,,Active,Healthcare
AA,Alcoa Corp,NYSE,Stock,2016-10-18,,Active,Basic Materials
AACG,ATA Creativity Global,NASDAQ,Stock,2008-01-29,,Active,Consumer Defensive
AACI,Armada Acquisition Corp I,NASDAQ,Stock,2021-11-10,,Active,Financial Services
AACT,Ares Acquisition Corporation II - Class A,NYSE,Stock,2023-06-12,,Active,Financial Services
AADI,Aadi Bioscience Inc,NASDAQ,Stock,2017-08-08,,Active,Healthcare
AAGR,African Agriculture Holdings Inc,NASDAQ,Stock,2023-12-07,,Active,Consumer Defensive
AAL,American Airlines Group Inc,NASDAQ,Stock,2005-09-27,,Active,Industrials
AAME,Atlantic American Corp,NASDAQ,Stock,1984-09-07,,Active,Financial Services
AAN,Aarons Company Inc (The),NYSE,Stock,2020-11-25,,Active,Industrials
AAOI,Applied Optoelectronics Inc,NASDAQ,Stock,2013-09-26,,Active,Technology
AAON,AAON Inc,NASDAQ,Stock,1992-12-16,,Active,Industrials
AAP,Advance Auto Parts Inc,NYSE,Stock,2001-11-29,,Active,Consumer Cyclical
AAPL,Apple Inc,NASDAQ,Stock,1980-12-12,,Active,Technology
AAT,American Assets Trust Inc,NYSE,Stock,2011-01-13,,Active,Real Estate
AB,AllianceBernstein Holding Lp,NYSE,Stock,1988-04-15,,Active,Financial Services
ABAT,Advanced Battery Technologies Inc,NASDAQ,Stock,2023-09-21,,Active,Basic Materials
ABBV,Abbvie Inc,NYSE,Stock,2013-01-02,,Active,Healthcare
ABCB,Ameris Bancorp,NASDAQ,Stock,1994-05-19,,Active,Financial Services
ABCL,AbCellera Biologics Inc,NASDAQ,Stock,2020-12-11,,Active,Healthcare
ABEO,Abeona Therapeutics Inc,NASDAQ,Stock,1980-09-19,,Active,Healthcare
ABEV,Ambev S.A.,NYSE,Stock,1997-03-05,,Active,Consumer Defensive
ABG,Asbury Automotive Group Inc,NYSE,Stock,2002-03-21,,Active,Consumer Cyclical
ABIO,ARCA biopharma Inc,NASDAQ,Stock,1997-08-08,,Active,Healthcare
ABL,Abacus Life Inc - Class A,NASDAQ,Stock,2020-09-14,,Active,Financial Services
ABM,ABM Industries Inc,NYSE,Stock,1984-07-19,,Active,Industrials
ABNB,Airbnb Inc - Class A,NASDAQ,Stock,2020-12-10,,Active,Consumer Cyclical
ABOS,Acumen Pharmaceuticals Inc,NASDAQ,Stock,2021-07-01,,Active,Healthcare
ABR,Arbor Realty Trust Inc,NYSE,Stock,2004-04-07,,Active,Real Estate
ABSI,Absci Corp,NASDAQ,Stock,2021-07-22,,Active,Healthcare
ABT,Abbott Laboratories,NYSE,Stock,1983-04-06,,Active,Healthcare
ABTS,Abits Group Inc,NASDAQ,Stock,2014-04-10,,Active,Financial Services
ABUS,Arbutus Biopharma Corp,NASDAQ,Stock,2015-08-03,,Active,Healthcare
ABVC,ABVC BioPharma Inc,NASDAQ,Stock,2017-10-11,,Active,Healthcare
ABVX,Abivax,NASDAQ,Stock,2023-10-20,,Active,Healthcare
AC,Associated Capital Group Inc - Class A,NYSE,Stock,2015-12-01,,Active,Financial Services
ACA,Arcosa Inc,NYSE,Stock,2018-10-30,,Active,Industrials
ACAB,Atlantic Coastal Acquisition Corp II - Class A,NASDAQ,Stock,2022-03-09,,Active,Financial Services
